,Parameters,Minima Found,Cost Function Values,Other Info
0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],,,Time Taken
1,"[ 1.23592519e+05  4.94629954e+04  1.20431055e+05  3.09227087e+00
  2.42217991e+00  4.65311022e-01  2.96158523e-01  2.64341362e+00
  7.86928844e+00 -1.45423475e+00  8.33196753e-01 -1.06454946e+01
 -4.26016571e+04 -2.58898627e+04 -3.30869058e+04]",0,4.877171469521176,7640.428399801254
2,"[ 7.60059613e+04  6.01076051e+04  7.53793396e+04  1.14513680e+00
  4.89445140e+00  5.42346122e+00 -1.26402677e+00 -2.63507971e+00
  1.08209490e+01 -8.08253218e+00 -4.23516156e+00 -1.20158121e+01
  1.75953764e+04 -2.59231053e+04 -2.21037881e+05]",0,4.962654978362645,
3,"[ 1.67813967e+05  1.52091721e+05  2.12043791e+04  9.97160089e-01
  2.43142574e+00  6.45584883e+00 -1.00296713e+01 -4.31293082e+00
  1.33293131e+00  3.73431124e+00 -7.77841430e+00 -1.23300254e+00
 -3.05091665e+04  2.16998910e+04 -3.39661710e+05]",0,5.033483472403954,Minimum Cost Function Value
4,"[ 1.18422614e+05  1.56781884e+05  5.84187963e+04  3.27503955e+00
  2.12478026e+00  5.84890030e+00 -6.51420928e+00  7.25665616e+00
 -1.17580942e+00 -1.24522268e+01 -8.37133548e+00  3.72486196e+00
 -8.79421724e+04 -1.27000907e+04 -1.43328448e+05]",0,5.098267902028381,4.877171469521176
5,"[ 8.28573537e+04  4.31932116e+04  1.70154125e+05  1.61879049e+00
  5.09480197e+00  1.54958144e+00  8.02005727e+00  3.79324694e+00
 -5.71890947e+00  1.48947705e-01 -7.04296733e+00  6.43679614e+00
  2.46997477e+04  8.31185352e+03 -3.24988399e+05]","[array([-252.81073,   21.23676, -293.08023]), array([252.81073, -21.23676, 293.08023])]",5.1088381323506145,
6,"[ 2.99062398e+04  1.45987099e+05  7.24884679e+04  9.58885088e-01
  1.03583847e+00  6.00122164e+00 -5.70741353e+00  1.09378728e+01
  6.97426250e+00 -3.56268112e+00  4.87562056e+00 -3.47152180e+00
  1.08575465e+04  1.21934963e+04 -2.34273308e+05]",0,5.120808589366539,Average of this generation
7,"[ 1.18802195e+05  9.66751641e+04  1.68838141e+05  6.23762734e+00
  6.77257999e+00  2.31249192e+00 -7.35442439e-01 -2.24638758e+00
  8.58845695e+00  1.13646321e+01 -1.25101027e+01  2.45766129e+00
 -1.45150530e+05 -1.52534379e+04 -6.17552657e+04]",0,5.1387703857242855,58005.686582152586
8,"[ 1.05583579e+05  1.45375892e+05  2.94839712e+04  1.58018964e+00
  1.42718592e-01  3.54690852e+00  5.13583423e+00  1.11382146e+01
  3.65594157e+00 -1.80261013e+00 -1.14723170e+01  7.35735428e+00
 -7.71137585e+04  5.32805485e+03 -3.02196784e+04]","[array([ -15.42313, -734.66334, -166.57723]), array([ -12.52795, -740.58706,  176.5459 ]), array([  12.52795,  740.58706, -176.5459 ]), array([ 15.42313, 734.66334, 166.57723])]",5.284127626388106,
9,"[ 1.14489032e+05  1.61423690e+05  1.45835526e+05  3.75558667e+00
  4.54494668e+00  9.99463933e-01 -3.60454843e-01 -7.05390681e+00
 -7.61344365e+00  1.27452112e+00 -6.21515389e+00 -1.04523881e+01
 -1.38297661e+05 -6.83127629e+03 -3.29339496e+04]",0,5.318380664131304,Change in Average
